Date,USFR,USFR_Volume,SGOV,SGOV_Volume,BIL,BIL_Volume,TFLO,TFLO_Volume,SHV,SHV_Volume,ICSH,ICSH_Volume
2023-08-16,50.45000076293945,3556000,100.43000030517578,3010900,91.62999725341797,7890300,50.630001068115234,2443000,110.2300033569336,2351500,50.25,1174400
2023-08-17,50.470001220703125,3749400,100.47000122070312,5092100,91.66999816894531,5621700,50.650001525878906,3169000,110.27999877929688,2526700,50.279998779296875,1016100
2023-08-18,50.47999954223633,3888200,100.4800033569336,2602500,91.68000030517578,6767800,50.65999984741211,1679600,110.29000091552734,1847400,50.27000045776367,1118700
2023-08-21,50.47999954223633,3857400,100.48999786376953,1967100,91.69000244140625,5959700,50.650001525878906,1420000,110.30000305175781,2102900,50.279998779296875,641600
2023-08-22,50.5,3819700,100.5,2328400,91.69999694824219,5790300,50.65999984741211,1620500,110.31999969482422,1374200,50.290000915527344,874300
2023-08-23,50.5099983215332,3995500,100.52999877929688,2200200,91.72000122070312,9529300,50.68000030517578,1311100,110.33999633789062,3148900,50.310001373291016,1032800
2023-08-24,50.5099983215332,4592400,100.56999969482422,2699900,91.75,6746700,50.70000076293945,1253700,110.38999938964844,1804700,50.31999969482422,573200
2023-08-25,50.290000915527344,7044300,100.58000183105469,1902900,91.7699966430664,4883000,50.70000076293945,1490900,110.38999938964844,1789200,50.31999969482422,533300
2023-08-28,50.290000915527344,3739700,100.5999984741211,1406500,91.79000091552734,4264100,50.709999084472656,1341100,110.4000015258789,1200700,50.34000015258789,970500
2023-08-29,50.29999923706055,3842300,100.62000274658203,2521800,91.77999877929688,9168200,50.720001220703125,1583800,110.43000030517578,2058300,50.369998931884766,863300
2023-08-30,50.310001373291016,4951500,100.62000274658203,1908500,91.80000305175781,6427000,50.709999084472656,2074100,110.44000244140625,1821500,50.36000061035156,995100
2023-08-31,50.34000015258789,3701400,100.66999816894531,4114400,91.86000061035156,7771500,50.7400016784668,1927400,110.5,2688100,50.38999938964844,1131600
2023-09-01,50.349998474121094,5262900,100.2699966430664,6906700,91.47000122070312,21532000,50.529998779296875,3150000,110.06999969482422,4624700,50.16999816894531,2109300
2023-09-05,50.36000061035156,2421800,100.27999877929688,2632600,91.48999786376953,8316300,50.540000915527344,1164800,110.06999969482422,2863100,50.189998626708984,745100
2023-09-06,50.369998931884766,3953400,100.30000305175781,2724500,91.48999786376953,6524800,50.540000915527344,1660800,110.08999633789062,2136900,50.20000076293945,1103000
2023-09-07,50.38999938964844,2689000,100.3499984741211,2697700,91.54000091552734,6808100,50.56999969482422,1007900,110.1500015258789,2119400,50.2400016784668,721900
2023-09-08,50.400001525878906,2405400,100.36000061035156,2149500,91.55000305175781,6393300,50.58000183105469,869800,110.16000366210938,3441500,50.2400016784668,1574200
2023-09-11,50.400001525878906,3018400,100.37000274658203,1968400,91.55000305175781,8027100,50.59000015258789,1234800,110.18000030517578,3088500,50.25,818700
2023-09-12,50.40999984741211,4584700,100.37999725341797,1728600,91.58000183105469,9948400,50.599998474121094,1244100,110.19000244140625,2338300,50.2400016784668,593800
2023-09-13,50.400001525878906,4204500,100.41000366210938,2152000,91.58999633789062,4696200,50.599998474121094,1739500,110.20999908447266,1776400,50.2599983215332,488700
2023-09-14,50.43000030517578,2967000,100.44000244140625,2075300,91.62000274658203,4214800,50.630001068115234,1399700,110.26000213623047,2391700,50.2599983215332,821900
2023-09-15,50.439998626708984,2921500,100.45999908447266,2291900,91.63999938964844,4684600,50.630001068115234,1899300,110.2699966430664,2478100,50.27000045776367,952700
2023-09-18,50.45000076293945,2872000,100.47000122070312,2307700,91.6500015258789,7376200,50.630001068115234,1123900,110.29000091552734,2617600,50.27000045776367,1160600
2023-09-19,50.459999084472656,2422300,100.4800033569336,1702900,91.66000366210938,4357400,50.63999938964844,906900,110.29000091552734,1920100,50.29999923706055,1506800
2023-09-20,50.470001220703125,3476300,100.51000213623047,1965900,91.66999816894531,5946200,50.650001525878906,1470400,110.30999755859375,1742000,50.310001373291016,643200
2023-09-21,50.47999954223633,4726400,100.54000091552734,3186500,91.72000122070312,7522700,50.68000030517578,1742900,110.36000061035156,2436500,50.310001373291016,907100
2023-09-22,50.47999954223633,4097000,100.55999755859375,3379500,91.7300033569336,15684400,50.66999816894531,2080400,110.37999725341797,1631300,50.33000183105469,1396900
2023-09-25,50.279998779296875,6879100,100.58000183105469,2866300,91.73999786376953,7492000,50.689998626708984,2139900,110.38999938964844,2278900,50.34000015258789,1248600
2023-09-26,50.279998779296875,4111500,100.58000183105469,2836000,91.75,7130600,50.70000076293945,1394100,110.4000015258789,2637200,50.349998474121094,1092800
2023-09-27,50.279998779296875,5884600,100.61000061035156,3450300,91.77999877929688,7669700,50.709999084472656,2329400,110.41999816894531,2963100,50.34000015258789,683700
2023-09-28,50.290000915527344,7377400,100.63999938964844,2880000,91.80999755859375,8426400,50.72999954223633,2763500,110.47000122070312,2534400,50.36000061035156,1155500
2023-09-29,50.31999969482422,6520800,100.66999816894531,5685600,91.81999969482422,9068000,50.7400016784668,1894800,110.47000122070312,5280700,50.380001068115234,564300
