ETF,Dec Low Date,Dec Low Price,Jan Peak Date,Jan Peak Price
USFR,2024-12-26,50.27999877929688,2025-01-27,50.4900016784668
SGOV,2024-12-18,100.16000366210938,2025-01-31,100.68000030517578
BIL,2024-12-19,91.29000091552734,2025-01-31,91.75
TFLO,2024-12-18,50.369998931884766,2025-01-31,50.68000030517578
SHV,2024-12-18,109.91999816894533,2025-01-31,110.51000213623048
ICSH,2024-12-18,50.33000183105469,2025-01-31,50.650001525878906
