Month,ETF,Peak_Date,Peak
2024-07,SGOV,2024-07-31,100.72000122070312
2024-08,SGOV,2024-08-30,100.73999786376952
2024-09,SGOV,2024-09-30,100.72000122070312
2024-10,SGOV,2024-10-31,100.6999969482422
2024-11,SGOV,2024-11-29,100.68000030517578
2024-12,SGOV,2024-12-31,100.31999969482422
2025-01,SGOV,2025-01-31,100.68000030517578
2025-02,SGOV,2025-02-28,100.6500015258789
2025-03,SGOV,2025-03-31,100.66999816894533
2025-04,SGOV,2025-04-30,100.69000244140624
2025-05,SGOV,2025-05-30,100.70999908447266
2025-06,SGOV,2025-06-09,100.4499969482422
2023-01,TFLO,2023-01-31,50.560001373291016
2023-02,TFLO,2023-02-28,50.560001373291016
2023-03,TFLO,2023-03-31,50.59000015258789
2023-04,TFLO,2023-04-28,50.630001068115234
2023-05,TFLO,2023-05-31,50.650001525878906
2023-06,TFLO,2023-06-30,50.66999816894531
2023-07,TFLO,2023-07-31,50.66999816894531
2023-08,TFLO,2023-08-31,50.7400016784668
2023-09,TFLO,2023-09-29,50.7400016784668
2023-10,TFLO,2023-10-31,50.75
2023-11,TFLO,2023-11-30,50.75
2023-12,TFLO,2023-12-29,50.470001220703125
2024-01,TFLO,2024-01-31,50.70000076293945
2024-02,TFLO,2024-02-29,50.70000076293945
2024-03,TFLO,2024-03-28,50.68999862670898
2024-04,TFLO,2024-04-30,50.68000030517578
2024-05,TFLO,2024-05-31,50.70000076293945
2024-06,TFLO,2024-06-28,50.65999984741211
2024-07,TFLO,2024-07-31,50.650001525878906
2024-08,TFLO,2024-08-30,50.630001068115234
2024-09,TFLO,2024-09-30,50.59999847412109
2024-10,TFLO,2024-10-31,50.61000061035156
2024-11,TFLO,2024-11-29,50.630001068115234
2024-12,TFLO,2024-12-31,50.470001220703125
2025-01,TFLO,2025-01-31,50.68000030517578
2025-02,TFLO,2025-02-28,50.66999816894531
2025-03,TFLO,2025-03-31,50.65999984741211
2025-04,TFLO,2025-04-30,50.630001068115234
2025-05,TFLO,2025-05-30,50.65999984741211
2025-06,TFLO,2025-06-09,50.52999877929688
2023-01,BIL,2023-01-31,91.7300033569336
2023-02,BIL,2023-02-28,91.70999908447266
2023-03,BIL,2023-03-31,91.81999969482422
2023-04,BIL,2023-04-28,91.77999877929688
2023-05,BIL,2023-05-31,91.7699966430664
2023-06,BIL,2023-06-30,91.81999969482422
2023-07,BIL,2023-07-31,91.8000030517578
2023-08,BIL,2023-08-31,91.86000061035156
2023-09,BIL,2023-09-29,91.81999969482422
2023-10,BIL,2023-10-31,91.81999969482422
2023-11,BIL,2023-11-30,91.83999633789062
2023-12,BIL,2023-12-29,91.38999938964844
2024-01,BIL,2024-01-31,91.77999877929688
2024-02,BIL,2024-02-29,91.77999877929688
2024-03,BIL,2024-03-28,91.8000030517578
2024-04,BIL,2024-04-30,91.79000091552734
2024-05,BIL,2024-05-31,91.81999969482422
2024-06,BIL,2024-06-28,91.77999877929688
2024-07,BIL,2024-07-31,91.8000030517578
2024-08,BIL,2024-08-30,91.81999969482422
2024-09,BIL,2024-09-30,91.80999755859376
2024-10,BIL,2024-10-31,91.8000030517578
2024-11,BIL,2024-11-29,91.77999877929688
2024-12,BIL,2024-12-31,91.43000030517578
2025-01,BIL,2025-01-31,91.75
2025-02,BIL,2025-02-28,91.72000122070312
2025-03,BIL,2025-03-31,91.7300033569336
2025-04,BIL,2025-04-30,91.72000122070312
2025-05,BIL,2025-05-30,91.73999786376952
2025-06,BIL,2025-06-09,91.5199966430664
2023-01,SHV,2023-01-31,110.27999877929688
2023-02,SHV,2023-02-28,110.2300033569336
2023-03,SHV,2023-03-31,110.5
2023-04,SHV,2023-04-28,110.4499969482422
2023-05,SHV,2023-05-31,110.41000366210938
2023-06,SHV,2023-06-30,110.4499969482422
2023-07,SHV,2023-07-31,110.44000244140624
2023-08,SHV,2023-08-31,110.5
2023-09,SHV,2023-09-29,110.47000122070312
2023-10,SHV,2023-10-31,110.5
2023-11,SHV,2023-11-30,110.58999633789062
2023-12,SHV,2023-12-29,110.12999725341795
2024-01,SHV,2024-01-31,110.56999969482422
2024-02,SHV,2024-02-29,110.52999877929688
2024-03,SHV,2024-03-28,110.54000091552734
2024-04,SHV,2024-04-30,110.47000122070312
2024-05,SHV,2024-05-31,110.51000213623048
2024-06,SHV,2024-06-28,110.5
2024-07,SHV,2024-07-31,110.54000091552734
2024-08,SHV,2024-08-30,110.5999984741211
2024-09,SHV,2024-09-30,110.62999725341795
2024-10,SHV,2024-10-31,110.56999969482422
2024-11,SHV,2024-11-29,110.51000213623048
2024-12,SHV,2024-12-31,110.11000061035156
2025-01,SHV,2025-01-31,110.51000213623048
2025-02,SHV,2025-02-28,110.4499969482422
2025-03,SHV,2025-03-31,110.45999908447266
2025-04,SHV,2025-04-30,110.45999908447266
2025-05,SHV,2025-05-30,110.44000244140624
2025-06,SHV,2025-06-09,110.16000366210938
2023-01,ICSH,2023-01-31,50.290000915527344
2023-02,ICSH,2023-02-28,50.20000076293945
2023-03,ICSH,2023-03-31,50.25
2023-04,ICSH,2023-04-28,50.31999969482422
2023-05,ICSH,2023-05-31,50.310001373291016
2023-06,ICSH,2023-06-30,50.29999923706055
2023-07,ICSH,2023-07-31,50.34999847412109
2023-08,ICSH,2023-08-31,50.38999938964844
2023-09,ICSH,2023-09-29,50.380001068115234
2023-10,ICSH,2023-10-31,50.400001525878906
2023-11,ICSH,2023-11-30,50.47999954223633
2023-12,ICSH,2023-12-29,50.36000061035156
2024-01,ICSH,2024-01-31,50.59999847412109
2024-02,ICSH,2024-02-29,50.54999923706055
2024-03,ICSH,2024-03-28,50.560001373291016
2024-04,ICSH,2024-04-30,50.5
2024-05,ICSH,2024-05-31,50.54999923706055
2024-06,ICSH,2024-06-28,50.52999877929688
2024-07,ICSH,2024-07-31,50.63999938964844
2024-08,ICSH,2024-08-30,50.709999084472656
2024-09,ICSH,2024-09-30,50.7400016784668
2024-10,ICSH,2024-10-31,50.68000030517578
2024-11,ICSH,2024-11-29,50.650001525878906
2024-12,ICSH,2024-12-31,50.43000030517578
2025-01,ICSH,2025-01-31,50.650001525878906
2025-02,ICSH,2025-02-28,50.68000030517578
2025-03,ICSH,2025-03-31,50.70000076293945
2025-04,ICSH,2025-04-30,50.68999862670898
2025-05,ICSH,2025-05-30,50.66999816894531
2025-06,ICSH,2025-06-09,50.52000045776367
