Cycle_Start_Month,Low_Date,Low,Peak_Date,Peak,Gain_%
2023-02,2023-02-22,50.2400016784668,2023-03-24,50.400001525878906,0.318
2023-03,2023-03-27,50.209999084472656,2023-04-21,50.43000030517578,0.438
2023-04,2023-04-24,50.22999954223633,2023-05-22,50.470001220703125,0.478
2023-05,2023-05-24,50.2400016784668,2023-06-23,50.5,0.518
2023-06,2023-06-26,50.290000915527344,2023-07-21,50.4900016784668,0.398
2023-07,2023-07-25,50.290000915527344,2023-08-24,50.5099983215332,0.437
2023-08,2023-08-25,50.290000915527344,2023-09-22,50.47999954223633,0.378
2023-09,2023-09-25,50.27999877929688,2023-10-24,50.4900016784668,0.418
2023-10,2023-10-25,50.27000045776367,2023-11-22,50.4900016784668,0.438
2023-11,2023-11-24,50.27000045776367,2023-12-21,50.45000076293945,0.358
2023-12,2023-12-22,50.209999084472656,2024-01-24,50.41999816894531,0.418
2024-01,2024-01-25,50.22999954223633,2024-02-22,50.459999084472656,0.458
2024-02,2024-02-23,50.2599983215332,2024-03-21,50.459999084472656,0.398
2024-03,2024-03-22,50.2400016784668,2024-04-23,50.5,0.518
2024-04,2024-04-24,50.27999877929688,2024-05-23,50.52000045776367,0.477
2024-05,2024-05-24,50.310001373291016,2024-06-24,50.5099983215332,0.398
2024-06,2024-06-26,50.27999877929688,2024-07-25,50.47999954223633,0.398
2024-07,2024-07-26,50.27000045776367,2024-08-23,50.459999084472656,0.378
2024-08,2024-08-28,50.220001220703125,2024-09-24,50.400001525878906,0.358
2024-09,2024-09-25,50.20000076293945,2024-10-25,50.41999816894531,0.438
2024-10,2024-10-28,50.2400016784668,2024-11-22,50.45000076293945,0.418
2024-11,2024-11-25,50.27000045776367,2024-12-24,50.459999084472656,0.378
2024-12,2024-12-26,50.27999877929688,2025-01-27,50.4900016784668,0.418
2025-01,2025-01-28,50.33000183105469,2025-02-24,50.5,0.338
2025-02,2025-02-25,50.34000015258789,2025-03-25,50.470001220703125,0.258
2025-03,2025-03-26,50.290000915527344,2025-04-24,50.43999862670898,0.298
2025-04,2025-04-25,50.290000915527344,2025-05-23,50.470001220703125,0.358
